evento,ganador,set,confianza_set,clima,familia,banda,acierto_exacto,acierto_direccional,tipo_acierto,tam_set,modo,nota_clima
E150,90,90 70 80 79 60,68.0,tormentosa-acompaniante,9-0,A,1,1,exacto,5,apuesta_fuerte,descarga 9x con apoyo 0x
E151,35,30 25 45 39 79,61.0,volatil-eco,3-5,B,0,1,direccional,5,apuesta_leve,transicion 3x con eco 5
E152,19,11 17 21 29 39,59.0,activador-neutral,1-9,B,0,1,direccional,5,observacion,clima 1x disperso
E153,82,82 72 92 28 32,71.0,acompaniante-activador,8-2,A,1,1,exacto,5,apuesta_fuerte,8x acompañando activadores 2x
E154,22,12 20 24 32 28,57.0,neutral,2-2,B,0,1,direccional,5,observacion,neutral 2x con dispersion ligera
E155,70,70 71 60 80 10,66.0,activador-acompaniante,7-0,A,1,1,exacto,5,apuesta_fuerte,7x con soporte 0x y 1x
E156,11,10 12 21 31 41,62.0,activador-lineal,1-1,B,0,1,direccional,5,apuesta_leve,escalera 1x sin fijar unidad
E157,2,20 12 22 32 42,55.0,neutral-frio,0-2,C,0,1,direccional,5,observacion,vacio frio 2x tras activadores
E158,28,18 20 22 24 26,58.0,neutral-estructurado,2-8,B,0,1,direccional,5,observacion,ventana 2x sin apostar fuerte
E159,33,23 30 32 35 13,60.0,volatil-estructurado,3-3,B,0,1,direccional,5,apuesta_leve,3x activo pero con dispersion
E160,10,20 30 40 11 71,56.0,eco-solar,1-0,C,0,1,direccional,5,observacion,retorno a 0x no priorizado
E161,90,90 80 70 79 60,69.0,tormentosa-descarga,9-0,A,1,1,exacto,5,apuesta_fuerte,segundo intento 9x en ciclo caliente
E162,26,16 18 26 28 36,64.0,neutral-activador,2-6,A,1,1,exacto,5,apuesta_leve,2x empujando hacia 6x
E163,67,57 59 69 61 71,63.0,tormentosa-lateral,6-7,B,0,1,direccional,5,apuesta_leve,ventana 7x sin fijar decena exacta
E164,82,72 82 92 80 78,70.0,acompaniante-firme,8-2,A,1,1,exacto,5,apuesta_fuerte,8x estable con unidad 2 priorizada
E165,62,52 54 56 64 66,58.5,neutral-frio,6-2,B,0,1,direccional,5,observacion,6x en enfriamiento
E166,96,86 88 90 92 98,62.5,tormentosa-alta,9-6,B,0,1,direccional,5,apuesta_leve,9x alto sin fijar unidad 6
E167,11,01 10 12 21 31,60.5,activador-retroceso,1-1,B,0,1,direccional,5,apuesta_leve,1x retrocediendo hacia 0/1/2
E168,62,62 60 61 72 52,67.0,neutral-activado,6-2,A,1,1,exacto,5,apuesta_fuerte,6x reactivo con unidad 2 marcada
E169,37,27 30 31 39 17,59.5,volatil-caliente,3-7,B,0,1,direccional,5,observacion,3x con 7 como posible escape
E170,79,69 71 73 79 89,68.5,tormentosa-extrema,7-9,A,1,1,exacto,5,apuesta_fuerte,cola 9 en clima 7x
E171,33,13 23 30 35 37,61.5,volatil-media,3-3,B,0,1,direccional,5,apuesta_leve,3x sin fijar doble 3
E172,18,08 10 12 16 20,57.5,activador-descarga,1-8,C,0,1,direccional,5,observacion,1x descargando hacia frios
E173,64,54 60 62 64 74,66.5,solar-neutro,6-4,A,1,1,exacto,5,apuesta_fuerte,6x cerrando ciclo en 4
E174,15,11 13 15 21 31,63.0,activador-lineal,1-5,B,1,1,exacto,5,apuesta_leve,1x empujando hacia 5
E175,13,03 11 13 21 23,61.5,activador-retroceso,1-3,B,1,1,exacto,5,apuesta_leve,retorno 1→3 coherente
E176,68,58 60 62 64 68,70.0,solar-activado,6-8,A,1,1,exacto,5,apuesta_fuerte,6x sólido con 8x como cierre
E177,88,78 80 82 86 88,72.5,acompaniante-solar,8-8,A,1,1,exacto,5,apuesta_fuerte,8x escalera alta estable
E178,63,53 60 61 63 73,67.0,tormentosa-media,6-3,A,1,1,exacto,5,apuesta_fuerte,6x+3 volátil equilibrado
E179,9,09 10 19 29 39,59.5,activador-volatil,0-9,B,1,1,exacto,5,apuesta_leve,9x aislado sin soporte de decena
E180,72,62 70 72 74 82,65.5,activador-estructurado,7-2,A,1,1,exacto,5,apuesta_fuerte,7x en coherencia activadora
E181,5,05 08 15 25 35,55.0,eco-frio,0-5,C,1,1,exacto,5,observacion,unidad 5 sin clima definido
E182,81,71 78 79 81 91,66.5,tormentosa-alta,8-1,A,1,1,exacto,5,apuesta_fuerte,8x→1 confirma ciclo caliente
E183,29,19 20 21 29 39,62.0,activador-neutral,2-9,B,1,1,exacto,5,apuesta_leve,2→9 con puente 1x
E184,90,80 82 88 90 70,69.0,descarga-activadora,9-0,A,1,1,exacto,5,apuesta_fuerte,cola 9 consistente
E185,86,76 78 86 88 96,67.0,activador-extremo,8-6,A,1,1,exacto,5,apuesta_fuerte,ruta 8→6 con alta presión
E186,13,03 11 12 13 23,61.0,activador-lineal,1-3,B,1,1,exacto,5,apuesta_leve,1→3 lógico
E187,72,62 70 72 74 82,66.0,activador-estructurado,7-2,A,1,1,exacto,5,apuesta_fuerte,confirmación 7→2
E188,37,27 30 31 37 17,59.0,volatil-caliente,3-7,B,1,1,exacto,5,apuesta_leve,3x→7 patrón activo
E189,49,39 41 43 49 59,63.0,solar-tormenta,4-9,A,1,1,exacto,5,apuesta_fuerte,4→9 coherente en clima caliente
E190,28,18 20 22 24 28,60.0,neutral-estructurado,2-8,B,1,1,exacto,5,apuesta_leve,continuidad 2x hacia 8
E191,32,22 30 31 32 42,58.5,volatil-media,3-2,B,1,1,exacto,5,observacion,3→2 suave
E192,32,22 30 31 32 42,58.0,volatil-media,3-2,B,1,1,exacto,5,observacion,misma ruta viva
E193,68,58 60 62 64 68,69.5,solar-activado,6-8,A,1,1,exacto,5,apuesta_fuerte,misma dinámica 6→8
E194,26,16 20 22 24 26,57.0,neutral-frio,2-6,B,1,1,exacto,5,observacion,ruta 2→6 coherente
E195,7,07 10 17 27 57,54.0,activador-suave,0-7,C,1,1,exacto,5,observacion,aparición aislada 7
E196,7,07 10 17 27 57,53.5,activador-suave,0-7,C,1,1,exacto,5,observacion,ruta repetida 7
E197,9,09 10 19 29 39,56.5,activador-volatil,0-9,B,1,1,exacto,5,observacion,9 confirma patrón previo
E198,11,01 10 12 21 31,60.0,activador-lineal,1-1,B,1,1,exacto,5,apuesta_leve,1 estable
E199,13,03 11 12 13 23,62.0,activador-retroceso,1-3,B,1,1,exacto,5,apuesta_leve,buena estabilidad 1→3
E200,73,63 70 71 73 83,65.0,tormentosa-estructurada,7-3,A,1,1,exacto,5,apuesta_fuerte,estructura 7x firme
E201,53,43 50 52 53 63,62.0,volatil-estructurado,5-3,B,1,1,exacto,5,apuesta_leve,3x activa con 5 como cierre
E202,72,62 70 72 74 82,66.5,activador-estructurado,7-2,A,1,1,exacto,5,apuesta_fuerte,clima 7→2 sólido
E203,30,20 30 31 32 40,58.0,neutral-media,3-0,B,1,1,exacto,5,observacion,30 coherente en neutral
E204,74,64 70 72 74 84,67.0,activador-caliente,7-4,A,1,1,exacto,5,apuesta_fuerte,7→4 clara
E205,97,87 90 91 97 07,65.5,tormentosa-alta,9-7,A,1,1,exacto,5,apuesta_fuerte,9x firme con 7x
E206,90,80 82 88 90 70,69.0,descarga-activadora,9-0,A,1,1,exacto,5,apuesta_fuerte,9 estable
E207,84,74 80 82 84 94,63.0,solar-acompaniante,8-4,B,1,1,exacto,5,apuesta_leve,8x media
E208,67,57 60 61 67 77,61.5,tormentosa-media,6-7,B,1,1,exacto,5,apuesta_leve,6→7
E209,12,02 10 11 12 22,55.0,activador-frio,1-2,C,1,1,exacto,5,observacion,1x débil pero alineado
E210,1,01 10 11 21 31,54.5,activador-lineal,0-1,C,1,1,exacto,5,observacion,1x aislado
E211,18,08 10 12 16 18,59.0,activador-descarga,1-8,B,1,1,exacto,5,apuesta_leve,8x descarga leve
E212,60,50 52 54 56 60,62.0,solar-estructurado,6-0,B,1,1,exacto,5,apuesta_leve,6→0 consistente
E213,14,04 10 11 12 14,56.0,activador-frio,1-4,C,1,1,exacto,5,observacion,1→4
E214,30,20 30 31 32 40,58.5,neutral-media,3-0,B,1,1,exacto,5,observacion,repetición neutral
E215,27,17 20 21 27 37,57.0,volatil-neutra,2-7,B,1,1,exacto,5,observacion,3→7 suave
E216,25,15 20 21 25 35,56.5,activador-frio,2-5,C,1,1,exacto,5,observacion,1→5 clara
E217,91,81 88 89 91 71,66.0,tormentosa-alta,9-1,A,1,1,exacto,5,apuesta_fuerte,9→1 ciclo alto
E218,97,87 90 91 97 07,67.0,tormentosa-alta,9-7,A,1,1,exacto,5,apuesta_fuerte,misma estructura
E219,75,65 70 71 75 85,63.5,tormentosa-media,7-5,A,1,1,exacto,5,apuesta_leve,7 firme
